,DATE,WEEK,COUNTRY,size
745,24/08/2021,35,Pakistan,4
858,26/08/2021,35,Côte d'Ivoire,4
950,27/08/2021,35,Czechia,4
938,27/08/2021,35,Bolivia (Plurinational State of),4
480,21/08/2021,34,Costa Rica,4
65,06/08/2021,32,Ukraine,4
986,27/08/2021,35,"Palestine, State of",4
1186,30/08/2021,36,Georgia,4
1181,30/08/2021,36,Dominican Republic,4
446,20/08/2021,34,Qatar,4
125,11/08/2021,33,Ukraine,4
1168,30/08/2021,36,Aruba,4
134,12/08/2021,33,Mexico,4
1138,29/08/2021,36,Netherlands,4
452,20/08/2021,34,Slovenia,4
561,22/08/2021,35,El Salvador,4
563,22/08/2021,35,Finland,4
566,22/08/2021,35,Greece,4
152,13/08/2021,33,Slovakia,4
1123,29/08/2021,36,Iraq,4
1106,29/08/2021,36,Costa Rica,4
1192,30/08/2021,36,Honduras,4
1201,30/08/2021,36,Jordan,4
586,22/08/2021,35,Malta,4
97,09/08/2021,33,Mexico,4
1291,31/08/2021,36,Turkey,4
474,21/08/2021,34,Belgium,4
1275,31/08/2021,36,Morocco,4
469,21/08/2021,34,Aruba,4
468,21/08/2021,34,Argentina,4
1247,31/08/2021,36,Barbados,4
1231,30/08/2021,36,Sri Lanka,4
49,05/08/2021,32,Norway,4
102,09/08/2021,33,Ukraine,4
1228,30/08/2021,36,Slovenia,4
1224,30/08/2021,36,Qatar,4
112,10/08/2021,33,Sweden,4
113,10/08/2021,33,Ukraine,4
522,21/08/2021,34,Russian Federation,4
164,14/08/2021,33,Mexico,4
779,25/08/2021,35,Czechia,4
1049,28/08/2021,35,"Korea, Republic of",4
1025,28/08/2021,35,Denmark,4
208,15/08/2021,34,Puerto Rico,4
994,27/08/2021,35,Russian Federation,4
627,23/08/2021,35,Austria,4
1053,28/08/2021,35,Malta,4
1080,28/08/2021,35,Ukraine,4
1052,28/08/2021,35,Malaysia,4
603,22/08/2021,35,Serbia,4
1202,30/08/2021,36,Kenya,3
778,25/08/2021,35,Cyprus,3
942,27/08/2021,35,Bulgaria,3
1236,30/08/2021,36,Ukraine,3
1212,30/08/2021,36,Netherlands,3
1222,30/08/2021,36,Portugal,3
1027,28/08/2021,35,Ecuador,3
202,15/08/2021,34,Morocco,3
296,18/08/2021,34,New Zealand,3
205,15/08/2021,34,Peru,3
814,25/08/2021,35,Portugal,3
193,15/08/2021,34,Israel,3
827,25/08/2021,35,Ukraine,3
1240,30/08/2021,36,Uruguay,3
116,11/08/2021,33,Australia,3
955,27/08/2021,35,Finland,3
1292,31/08/2021,36,Ukraine,3
782,25/08/2021,35,Egypt,3
964,27/08/2021,35,Iraq,3
1290,31/08/2021,36,Switzerland,3
230,16/08/2021,34,Chile,3
304,18/08/2021,34,Uruguay,3
987,27/08/2021,35,Panama,3
1271,31/08/2021,36,Luxembourg,3
798,25/08/2021,35,Luxembourg,3
1268,31/08/2021,36,Italy,3
804,25/08/2021,35,Nicaragua,3
960,27/08/2021,35,Honduras,3
993,27/08/2021,35,Qatar,3
1257,31/08/2021,36,Dominican Republic,3
93,09/08/2021,33,Brazil,3
187,15/08/2021,34,Ecuador,3
1091,29/08/2021,36,Austria,3
28,03/08/2021,32,Ukraine,3
914,26/08/2021,35,Serbia,3
1134,29/08/2021,36,Malta,3
910,26/08/2021,35,Qatar,3
1073,28/08/2021,35,Singapore,3
266,17/08/2021,34,Australia,3
1130,29/08/2021,36,Kuwait,3
151,13/08/2021,33,Poland,3
154,13/08/2021,33,Ukraine,3
254,16/08/2021,34,Russian Federation,3
1110,29/08/2021,36,Denmark,3
889,26/08/2021,35,Malta,3
261,16/08/2021,34,Ukraine,3
1086,28/08/2021,35,Virgin Islands (U.S.),3
904,26/08/2021,35,Paraguay,3
166,14/08/2021,33,Poland,3
1089,29/08/2021,36,Aruba,3
1071,28/08/2021,35,Russian Federation,3
871,26/08/2021,35,Hong Kong,3
833,26/08/2021,35,Andorra,3
1161,29/08/2021,36,Ukraine,3
1097,29/08/2021,36,Bosnia and Herzegovina,3
1190,30/08/2021,36,Guatemala,3
1051,28/08/2021,35,Luxembourg,3
1183,30/08/2021,36,Egypt,3
1180,30/08/2021,36,Denmark,3
838,26/08/2021,35,Bahamas,3
842,26/08/2021,35,Bolivia (Plurinational State of),3
58,06/08/2021,32,Canada,3
1179,30/08/2021,36,Cyprus,3
1061,28/08/2021,35,Pakistan,3
250,16/08/2021,34,Peru,3
1166,29/08/2021,36,Venezuela (Bolivarian Republic of),3
9,01/08/2021,32,Ukraine,3
275,17/08/2021,34,Guatemala,3
1069,28/08/2021,35,Qatar,3
983,27/08/2021,35,North Macedonia,3
888,26/08/2021,35,Malaysia,3
375,19/08/2021,34,Slovenia,3
524,21/08/2021,34,Singapore,3
390,20/08/2021,34,Aruba,3
647,23/08/2021,35,Georgia,3
731,24/08/2021,35,Israel,3
554,22/08/2021,35,Croatia,3
473,21/08/2021,34,Belarus,3
736,24/08/2021,35,"Korea, Republic of",3
557,22/08/2021,35,Czechia,3
589,22/08/2021,35,Morocco,3
487,21/08/2021,34,Finland,3
506,21/08/2021,34,Malaysia,3
519,21/08/2021,34,Portugal,3
753,24/08/2021,35,Singapore,3
326,19/08/2021,34,Czechia,3
757,24/08/2021,35,Sri Lanka,3
726,24/08/2021,35,Hungary,3
492,21/08/2021,34,Honduras,3
