,DATE,WEEK,COUNTRY, TRUE_AMOUNT_GBP 
311,19/08/2021,34,Belgium,403.57
947,27/08/2021,35,Costa Rica,402.55
60,06/08/2021,32,Germany,398.4
15,02/08/2021,32,Oman,398.0
393,20/08/2021,34,Belgium,396.68
476,21/08/2021,34,Brazil,394.99
102,09/08/2021,33,Ukraine,394.34
773,25/08/2021,35,Brazil,392.16
547,22/08/2021,35,Brazil,392.16
841,26/08/2021,35,Belgium,385.46000000000004
747,24/08/2021,35,Peru,381.74
1261,31/08/2021,36,France,375.4
1074,28/08/2021,35,South Africa,374.36
1072,28/08/2021,35,Saudi Arabia,369.87
151,13/08/2021,33,Poland,365.48
1160,29/08/2021,36,Turkey,361.24
1233,30/08/2021,36,Switzerland,357.7
581,22/08/2021,35,"Korea, Republic of",357.23
971,27/08/2021,35,"Korea, Republic of",353.90000000000003
520,21/08/2021,34,Puerto Rico,353.53000000000003
1077,28/08/2021,35,Switzerland,351.55
1171,30/08/2021,36,Belgium,350.40000000000003
973,27/08/2021,35,Lebanon,349.8
594,22/08/2021,35,Peru,349.06
811,25/08/2021,35,Peru,345.36
502,21/08/2021,34,"Korea, Republic of",344.62
706,24/08/2021,35,Bolivia (Plurinational State of),343.14000000000004
1129,29/08/2021,36,"Korea, Republic of",338.67
598,22/08/2021,35,Puerto Rico,337.93
617,22/08/2021,35,Uruguay,335.7
137,12/08/2021,33,Sweden,334.79
321,19/08/2021,34,Colombia,333.46000000000004
203,15/08/2021,34,New Zealand,332.91
695,23/08/2021,35,Ukraine,329.32
1016,28/08/2021,35,Belgium,329.18
1146,29/08/2021,36,Peru,327.51
761,24/08/2021,35,Ukraine,322.92
1021,28/08/2021,35,Colombia,319.37
650,23/08/2021,35,Guatemala,319.34
937,27/08/2021,35,Belgium,314.97
966,27/08/2021,35,Israel,314.90000000000003
343,19/08/2021,34,Israel,314.26
716,24/08/2021,35,Ecuador,312.68
533,21/08/2021,34,United Arab Emirates,311.19
1027,28/08/2021,35,Ecuador,307.79
1005,27/08/2021,35,United Arab Emirates,306.73
370,19/08/2021,34,Qatar,306.73
132,12/08/2021,33,India,306.0
972,27/08/2021,35,Kuwait,305.99
575,22/08/2021,35,Israel,304.51
242,16/08/2021,34,Japan,302.71
329,19/08/2021,34,Ecuador,300.04
606,22/08/2021,35,South Africa,298.56
1252,31/08/2021,36,Chile,298.38
180,15/08/2021,34,Chile,297.32
450,20/08/2021,34,Singapore,295.6
498,21/08/2021,34,Israel,294.85
868,26/08/2021,35,Greece,293.82
